video_path,label,split
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/vngueqqcmz.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/ieblyetiob.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/dnrpknwija.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/zznanrtksj.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/vdwoazrodt.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/znnqbkpanr.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/cxwcpgspni.mp4,REAL,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/lkazyduuwz.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/ldefmlfcdg.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/khmeblwrds.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/wjsbijgijx.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/amexfpxjzt.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/bxctteujhv.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/riljfrtubt.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/bwrtykzswp.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/eldndygyuj.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/zxmbqubekj.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/yjkiocvhko.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/otrustcycj.mp4,FAKE,dfdc_train_part_3
