video_path,label,split
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_05/dfdc_train_part_5/jqiyrrspsj.mp4,REAL,dfdc_train_part_5
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_06/dfdc_train_part_6/dnhlwyzwtx.mp4,REAL,dfdc_train_part_6
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_06/dfdc_train_part_6/nffeuloxid.mp4,FAKE,dfdc_train_part_6
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_02/dfdc_train_part_2/sqixhnilfm.mp4,FAKE,dfdc_train_part_2
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_07/dfdc_train_part_7/cftfpsgzil.mp4,REAL,dfdc_train_part_7
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_07/dfdc_train_part_7/lkfoelyxpq.mp4,REAL,dfdc_train_part_7
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_00/dfdc_train_part_0/gfkdvulbfo.mp4,FAKE,dfdc_train_part_0
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_01/dfdc_train_part_1/mzolcisxha.mp4,FAKE,dfdc_train_part_1
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_00/dfdc_train_part_0/didzujjhtg.mp4,REAL,dfdc_train_part_0
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_05/dfdc_train_part_5/qsfrvlacbu.mp4,FAKE,dfdc_train_part_5
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_09/dfdc_train_part_9/snflapfzge.mp4,REAL,dfdc_train_part_9
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_06/dfdc_train_part_6/ggnxllgjnk.mp4,FAKE,dfdc_train_part_6
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_07/dfdc_train_part_7/ixrjfnfwtj.mp4,FAKE,dfdc_train_part_7
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_09/dfdc_train_part_9/nspyimljof.mp4,FAKE,dfdc_train_part_9
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_02/dfdc_train_part_2/iksxzpqxzi.mp4,REAL,dfdc_train_part_2
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_00/dfdc_train_part_0/wwvykizoms.mp4,FAKE,dfdc_train_part_0
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_06/dfdc_train_part_6/gcsmugeeus.mp4,FAKE,dfdc_train_part_6
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_05/dfdc_train_part_5/nwiwvpfler.mp4,FAKE,dfdc_train_part_5
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_07/dfdc_train_part_7/ovsraliubt.mp4,REAL,dfdc_train_part_7
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_07/dfdc_train_part_7/fwjfbaqaux.mp4,REAL,dfdc_train_part_7
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_08/dfdc_train_part_8/evtxiaxexc.mp4,REAL,dfdc_train_part_8
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_09/dfdc_train_part_9/csfrcupvbf.mp4,FAKE,dfdc_train_part_9
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_05/dfdc_train_part_5/efpaxjwljv.mp4,FAKE,dfdc_train_part_5
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_05/dfdc_train_part_5/ivzeuhdezn.mp4,FAKE,dfdc_train_part_5
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_03/dfdc_train_part_3/qtelsrvetz.mp4,FAKE,dfdc_train_part_3
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_04/dfdc_train_part_4/mkwhpzswmo.mp4,REAL,dfdc_train_part_4
/home/jplinux/Deepfake_project/dfdc_data/dfdc_train_part_06/dfdc_train_part_6/croamzzqdr.mp4,FAKE,dfdc_train_part_6
